x,y,w,c
6.005198034585546019e+00,2.539230840100172415e+00,1.560000000000000053e+00,7.065520653086226899e-02
5.804651703338847391e+00,2.537845989796875923e+00,1.560000000000000053e+00,6.308512233331407815e-02
5.605213779918575945e+00,2.533951902590140026e+00,1.640000000000000124e+00,5.607190806642769337e-02
5.407503584645663608e+00,2.527888042185657547e+00,1.840000000000000080e+00,1.043365592043256490e-01
5.213464671674369555e+00,2.517960967750954904e+00,2.000000000000000000e+00,5.205780221956881615e-01
5.032655485424995412e+00,2.490787199587457312e+00,2.160000000000000142e+00,1.328982995454707661e+00
4.877350479133945704e+00,2.428813654151694923e+00,2.440000000000000391e+00,2.039146536749683492e+00
4.753657254596726389e+00,2.322752943702916184e+00,2.320000000000000284e+00,1.054322670036759391e+00
4.646240264011440857e+00,2.192061127851949731e+00,1.800000000000000044e+00,-1.222054826248152454e-01
4.535108805451077529e+00,2.062434262666341667e+00,1.799999999999999822e+00,-1.214457628482386031e+00
4.400936511193596523e+00,1.958887629386536045e+00,1.920000000000000151e+00,-1.576431709661956893e+00
4.238287616314554640e+00,1.892202148524317895e+00,1.840000000000000080e+00,-1.189956422826415450e+00
4.054886449943437832e+00,1.859672966884156953e+00,1.680000000000000160e+00,-8.802182520693604406e-01
3.858975439983678424e+00,1.858064310838278388e+00,1.560000000000000053e+00,-6.951490879348356522e-01
3.658797014338708298e+00,1.884140406758906261e+00,1.600000000000000089e+00,-6.076355014446992442e-01
3.462593600911962000e+00,1.934665481018266853e+00,1.679999999999999938e+00,-5.952584441983308494e-01
3.278290907609916260e+00,2.006332386594483097e+00,1.879999999999999893e+00,-5.451754451062097440e-01
3.107715244541742639e+00,2.094459466719054141e+00,2.200000000000000178e+00,-3.906691055950233804e-01
2.947187248249448999e+00,2.193124351649627712e+00,2.360000000000000320e+00,-2.052249335344948911e-01
2.792829970666705464e+00,2.296360145613746795e+00,2.480000000000000426e+00,-3.402355429288998583e-03
2.640766463727186597e+00,2.398199952838954374e+00,2.479999999999999982e+00,2.136655494584647486e-01
2.487119779364564742e+00,2.492676877552793879e+00,2.439999999999999947e+00,4.444659182455143465e-01
2.328012969512513131e+00,2.573824023982808740e+00,2.359999999999999876e+00,6.244362284153255338e-01
2.160311225455759487e+00,2.636986392644190769e+00,2.360000000000000320e+00,5.506918727126379753e-01
1.984513605995839924e+00,2.683932652731509272e+00,2.320000000000000284e+00,4.037605281898096199e-01
1.802229636859311368e+00,2.718394470596699364e+00,2.320000000000000284e+00,2.689996503780386905e-01
1.615069121670696495e+00,2.744104003838130357e+00,2.240000000000000213e+00,1.487251808346413129e-01
1.424641864054517759e+00,2.764793410054171563e+00,2.280000000000000249e+00,3.930901582934008542e-02
1.232557667635298282e+00,2.784194846843191851e+00,2.160000000000000142e+00,-4.875025938599766157e-02
1.040197034438783197e+00,2.805457131964161910e+00,2.160000000000000142e+00,-6.128757943647865358e-02
8.478787661252479291e-01,2.829028133317926130e+00,2.000000000000000000e+00,-5.232583858838216889e-02
6.556146001286076164e-01,2.854574552003853238e+00,1.959999999999999964e+00,-4.344843038285810255e-02
4.634162431228274759e-01,2.881763010868458874e+00,1.839999999999999858e+00,-3.464815429852084044e-02
2.712954017818736130e-01,2.910260132758259122e+00,1.760000000000000009e+00,-2.591022505072404156e-02
7.926378277971118935e-02,2.939732540519769621e+00,1.760000000000000009e+00,-1.721562696712492652e-02
-1.126669072096940782e-01,2.969846856999507345e+00,1.800000000000000044e+00,-8.542206629342234681e-03
-3.044849615123766395e-01,3.000269705043988377e+00,1.919999999999999929e+00,1.343132221067764654e-04
-4.961786734543710553e-01,3.030667707499728802e+00,1.919999999999999929e+00,8.839370589025239214e-03
-6.877363363617114977e-01,3.060707487213243816e+00,2.000000000000000000e+00,1.759861925000957145e-02
-8.791462435604324721e-01,3.090055667031051723e+00,2.080000000000000071e+00,2.643696650567872036e-02
-1.070396688376568317e+00,3.118378869799666386e+00,2.040000000000000036e+00,3.537755722129175273e-02
-1.261475964136153927e+00,3.145343718365605667e+00,2.000000000000000000e+00,4.444066861472056873e-02
-1.452372364165223306e+00,3.170616835575383874e+00,2.040000000000000036e+00,5.364248334396964218e-02
-1.643074181789810684e+00,3.193864844275518422e+00,2.040000000000000036e+00,6.299371456463195851e-02
-1.833569710335950731e+00,3.214754367312524952e+00,2.040000000000000036e+00,7.249806678631307011e-02
-2.023847243129678564e+00,3.232952027532920436e+00,2.040000000000000036e+00,8.215053188446243271e-02
-2.213895073497027077e+00,3.248124447783220958e+00,2.080000000000000071e+00,9.193554190634620205e-02
-2.403701494764031832e+00,3.259938250909941271e+00,2.080000000000000071e+00,1.018250305955229890e-01
-2.593254800256726167e+00,3.268060059759598346e+00,2.120000000000000107e+00,1.117764944679892902e-01
-2.782543283301146086e+00,3.272156497178709156e+00,2.160000000000000142e+00,1.217311911944161940e-01
-2.971555237223325374e+00,3.271894186013788897e+00,2.200000000000000178e+00,1.316126653224964915e-01
-3.160278955349298258e+00,3.266939749111353652e+00,2.240000000000000213e+00,1.330754504672365113e-01
