x,y
-4.302622925338361881e+00,3.283639995736466588e+00
-4.492829030068049789e+00,3.254576448242724407e+00
-4.682719939090416617e+00,3.219539103713534800e+00
-4.872306776110621129e+00,3.178302170519379022e+00
-5.061600664833806107e+00,3.130639857030743212e+00
-5.250612722927482601e+00,3.076326373166319961e+00
-5.438981273922188109e+00,3.015231522956452359e+00
-5.624965094574991831e+00,2.947578862100871611e+00
-5.806503922174308663e+00,2.873673756316054373e+00
-5.981537494008543732e+00,2.793821571318478636e+00
-6.148005547366101275e+00,2.708327672824623722e+00
-6.303847819535397079e+00,2.617497426550964512e+00
-6.447004047804835380e+00,2.521636198213979885e+00
-6.575413969462822195e+00,2.421049353530148274e+00
-6.687017321797770641e+00,2.316042258215945004e+00
-6.779753842098085848e+00,2.206920277987851620e+00
-6.851563267652176492e+00,2.093988778562340336e+00
-6.900385335748449478e+00,1.977553125655892474e+00
-6.924159783675315261e+00,1.857918684984986468e+00
-6.920826348721182519e+00,1.735390822266096311e+00
-6.888324768174457269e+00,1.610274903215703768e+00
-6.824594779323549076e+00,1.482876293550282165e+00
-6.727576119456863957e+00,1.353500358986311047e+00
-6.595542267116191404e+00,1.222555199680697147e+00
-6.430817184617221294e+00,1.091695762500960454e+00
-6.238421477694787498e+00,9.634070929311211451e-01
-6.023424597510658174e+00,8.401892723776505090e-01
-5.790895995226596149e+00,7.245423822470125064e-01
-5.545905122004370469e+00,6.189665039456776485e-01
-5.293521429005758172e+00,5.259617188801163357e-01
-5.038814367392514093e+00,4.480281084567932504e-01
-4.786853388326416159e+00,3.876657540821799031e-01
-4.542707942969222756e+00,3.473747371627424751e-01
-4.311447482482709148e+00,3.296551391049508117e-01
-4.098141458028644379e+00,3.370070413152729261e-01
-3.907859320768790390e+00,3.719305252001776085e-01
-3.745670521864920666e+00,4.369256721661321508e-01
